RMSE,Num_Points,Density,LBP,Class
0.09273855336560205,19,0.152,57,50
0.14469697882881025,44,0.352,2,50
0.10286564253193205,22,0.176,22,50
0.0327490585157058,30,0.24,53,50
0.05316137270160298,119,0.952,53,50
0.027040157887759826,54,0.432,19,50
0.013561713120856538,7,0.056,58,50
0.018332709612152505,41,0.328,8,50
0.016350929322996487,66,0.528,10,50
0.004772037615098283,22,0.176,0,50
0.02624876127587905,32,0.256,31,50
0.00831968784541365,6,0.048,47,50
0.024914173826550742,57,0.456,11,50
0.028181929478523535,164,1.312,3,50
0.017160709662466123,33,0.264,62,50
0.06338214854277431,45,0.36,27,50
0.1024730478186471,309,2.472,12,50
0.03374932996015248,178,1.424,25,50
0.023886325416538314,273,2.184,46,50
0.00028151460905597234,17,0.136,54,50
0.05508129095772573,48,0.384,61,50
0.044001633388013356,221,1.768,0,50
0.025601018819592865,178,1.424,32,50
0.012130476742028025,92,0.736,62,50
0.05303289456016881,196,1.568,15,50
5.904331024098043e-09,3,0.024,3,50
0.021354404022617214,8,0.064,18,50
0.054773630112998635,6,0.048,43,50
0.004539781374767327,11,0.088,49,50
0.022659323390837715,338,2.704,22,50
0.023942173084162535,1834,14.672,16,50
0.024653634026781536,225,1.8,0,50
0.030352830326091727,264,2.112,8,50
0.02777976142626431,372,2.976,5,50
0.015168582297752068,54,0.432,23,50
0.02708070831951913,56,0.448,8,50
0.02390607141793418,445,3.56,0,50
0.027722803807232667,171,1.368,0,50
0.054869894317239036,260,2.08,16,50
0.02297321844350333,510,4.08,50,50
0.008649359056405997,61,0.488,30,50
0.009123760911852326,15,0.12,37,50
0.013749208123190441,41,0.328,43,50
0.027443304559178153,117,0.936,39,50
0.062352998904287464,100,0.8,63,50
0.028264394848299595,113,0.904,40,50
0.031078953317298694,33,0.264,20,50
0.04628000666339863,172,1.376,59,50
0.03239922526589895,19,0.152,52,50
0.05285024933705794,28,0.224,2,50
0.06707098285056293,141,1.128,18,50
0.05447572322283029,44,0.352,42,50
0.08114573105487816,82,0.656,49,50
0.08308497189285698,77,0.616,26,50
0.15054977833460176,36,0.288,51,50
0.004490296731486571,4,0.032,33,50
7.200483398879982e-08,3,0.024,4,50
8.933620391944158e-08,3,0.024,61,50
6.66033069186169e-06,5,0.04,22,50
0.3283226418207012,11,0.088,62,50
0.33307190839052786,11,0.088,61,50
0.09921035204731272,5,0.04,63,50
1.4165751089239353e-05,4,0.032,29,50
2.3633977857527582e-05,4,0.032,50,50
0.002359927666042272,4,0.032,3,50
3.591831104475417e-05,7,0.056,27,50
0.01056474417238983,5,0.04,62,50
2.685999361698105e-05,5,0.04,38,50
3.565031768418087e-07,4,0.032,38,50
0.26381643774632246,5,0.04,31,50
0.3406015469561845,12,0.096,3,50
0.2055840212600646,11,0.088,46,50
1.7718558529749551e-09,3,0.024,63,50
0.061852933073728904,5,0.04,12,50
0.029841593756439244,9,0.072,7,50
2.255608770948346e-05,6,0.048,1,50
0.00639692024229213,4,0.032,47,50
