RMSE,Num_Points,Density,LBP,Class,Category
0.11030366228050487,21,0.168,50,4,3
0.21934820950597617,40,0.32,61,4,3
0.29887928168948386,28,0.224,3,4,3
0.04174307333050585,17,0.136,25,4,3
0.38897883330405497,72,0.576,4,4,3
0.08463261981523636,27,0.216,26,4,3
0.16375252791648742,22,0.176,23,4,3
0.3779924962294342,52,0.416,25,4,3
0.17618665517320628,25,0.2,26,4,3
0.050912719221445274,47,0.376,59,4,3
0.056544188341235105,195,1.56,28,8,5
0.014496935383577719,157,1.256,63,8,5
8.846112820037889e-08,3,0.024,33,11,5
5.9076677475881447e-08,3,0.024,57,11,5
0.05260628784287702,5,0.04,49,11,5
0.019005858212924318,8,0.064,22,11,5
0.002156606039172849,6,0.048,10,11,5
0.0026946394151627757,6,0.048,13,11,5
0.009493540037131239,14,0.112,49,11,5
0.006798719832173356,13,0.104,12,11,5
3.550441755410343e-08,3,0.024,15,11,5
0.0233034521852269,24,0.192,4,11,5
3.80282079159855e-08,3,0.024,50,11,5
0.008192707030507862,34,0.272,17,11,5
0.009651170267164513,14,0.112,22,11,5
0.007530719364531853,22,0.176,63,11,5
0.0031363712940983704,11,0.088,56,11,5
0.0042259523887837255,14,0.112,36,11,5
0.0008537969349971972,5,0.04,34,11,5
0.004290372030251245,12,0.096,29,11,5
0.0071862718542279255,17,0.136,27,11,5
0.006509195225697257,16,0.128,55,11,5
0.005985345787348322,23,0.184,54,11,5
0.0006538944120060901,25,0.2,8,11,5
7.454531261012061e-05,9,0.072,29,11,5
0.0054492345357103344,27,0.216,19,11,5
0.006154657122274272,17,0.136,17,11,5
0.008929562936980785,48,0.384,6,11,5
0.005206991754041237,24,0.192,0,11,5
0.009013696249630512,23,0.184,4,11,5
0.003163801172543354,20,0.16,4,11,5
0.004543254943233632,68,0.544,7,11,5
0.0010093123594549032,4,0.032,32,11,5
0.0050410685257698115,45,0.36,50,11,5
0.007152699542542564,24,0.192,4,11,5
0.005845190210900973,20,0.16,60,11,5
0.0061151200896165355,14,0.112,62,11,5
0.004141492089272175,5,0.04,57,11,5
0.0005857100773877354,4,0.032,26,11,5
8.838726782885628e-09,3,0.024,61,11,5
0.00011649427709120054,4,0.032,31,11,5
0.0014637241381111258,6,0.048,53,11,5
2.593698060030884e-08,3,0.024,32,11,5
1.2082253369914168e-05,7,0.056,39,11,5
6.407944156775851e-09,3,0.024,1,11,5
0.24079096964439411,6093,48.744,39,17,5
0.7262782525821838,58,0.464,53,17,5
0.49221497134032854,108,0.864,63,17,5
0.48019836221985474,12,0.096,5,17,5
0.3877338728181164,7,0.056,55,17,5
0.4912739887023606,36,0.288,15,17,5
0.22158040050313793,88,0.704,31,17,5
0.9314486388397002,64,0.512,23,17,5
0.17026731204832812,3142,25.136,31,17,5
0.27419102305351367,112,0.896,11,17,5
0.23380754072013346,78,0.624,1,17,5
0.34867281631153524,70,0.56,63,17,5
0.11586332932748443,11,0.088,15,17,5
0.11998491452757067,7,0.056,36,17,5
0.23078211788527483,78,0.624,61,17,5
0.4939973037847011,26,0.208,10,17,5
0.6168397164371495,33,0.264,26,17,5
0.17678037027203747,30,0.24,62,17,5
0.4798310534832962,623,4.984,36,17,5
0.31514608175418385,64,0.512,3,17,5
0.5886538415625024,99,0.792,63,17,5
0.45872353006026767,27,0.216,45,17,5
0.28966737633661266,12,0.096,16,17,5
0.121180966394279,133,1.064,26,17,5
0.5051812468780753,251,2.008,39,17,5
0.4961026882882156,51,0.408,10,17,5
0.15207671448829294,19,0.152,39,17,5
0.32106514579862566,147,1.176,13,17,5
0.37382964113419703,31,0.248,51,17,5
0.13595065183539082,4,0.032,40,17,5
0.1719796942729871,8,0.064,14,17,5
0.7961428625368825,148,1.184,15,17,5
0.40180863528160343,269,2.152,32,17,5
1.0983107667320393,114,0.912,11,17,5
1.258934209621051e-06,3,0.024,24,17,5
0.5594396581725429,21,0.168,21,17,5
0.18970311247548646,10,0.08,48,17,5
0.16403434378878856,79,0.632,41,17,5
8.29423304556561e-07,3,0.024,19,17,5
5.0918060878757396e-09,3,0.024,3,17,5
0.24868486736502293,42,0.336,50,17,5
0.3581177292850229,5733,45.864,63,17,5
0.19205177342907184,34,0.272,23,17,5
0.2941007431497274,810,6.48,0,17,5
0.15852438100564797,526,4.208,63,17,5
0.6908160114338685,93,0.744,63,17,5
0.33738406540816573,1524,12.192,63,17,5
0.8077453355210601,165,1.32,47,17,5
0.22618591896496706,95,0.76,51,17,5
0.22862001181484318,6539,52.312,5,17,5
0.4897980434878718,9,0.072,31,17,5
0.12235252996796993,260,2.08,52,17,5
0.575757647193717,44,0.352,49,17,5
0.17438430659490667,1334,10.672,47,17,5
0.6549930358730736,98,0.784,39,17,5
0.9318467989648515,147,1.176,8,17,5
0.11553968743705728,8,0.064,8,17,5
0.4709226426671325,26,0.208,63,17,5
0.6022359811947015,145,1.16,32,17,5
0.35860920991260903,34,0.272,2,17,5
0.6616467894029704,54,0.432,62,17,5
0.3377277288402326,45,0.36,18,17,5
0.6117913574718025,613,4.904,51,17,5
0.5529152855522041,91,0.728,58,17,5
0.31150663920500143,4178,33.424,47,17,5
8.380241791246708e-08,3,0.024,1,17,5
0.6030634383201728,156,1.248,55,17,5
0.2616511285622256,87,0.696,44,17,5
0.37101788001011815,10,0.08,27,17,5
0.29953672200147935,3038,24.304,31,17,5
0.04545619499202918,4,0.032,29,17,5
0.4473617201358949,42,0.336,32,17,5
0.3805877807900828,54,0.432,49,17,5
0.1692364252664855,1908,15.264,23,17,5
0.6688337631149959,25,0.2,60,17,5
0.2647002085688588,29,0.232,10,17,5
0.6815476899364892,121,0.968,28,17,5
0.5826218842875914,90,0.72,8,17,5
0.4416268690441693,9,0.072,35,17,5
0.05234472373732128,5,0.04,25,17,5
0.17411831393754124,9,0.072,42,17,5
0.8131751401494556,67,0.536,0,17,5
0.19749121653214924,439,3.512,57,17,5
2.2705709795310897e-08,3,0.024,12,17,5
0.7473922415751744,107,0.856,32,17,5
0.1867243571104884,223,1.784,61,17,5
0.33349034564112273,99,0.792,16,17,5
0.002839895995266515,29,0.232,31,23,4
0.00012014587070419467,8,0.064,13,23,4
0.0014477433818238232,12,0.096,31,23,4
0.011870836320769847,22,0.176,9,23,4
0.0074671037871829465,59,0.472,50,23,4
0.0018734795226714466,11,0.088,7,23,4
0.0023379065056640226,9,0.072,0,23,4
4.029731857652651e-05,10,0.08,39,23,4
0.00017231122187189228,10,0.08,55,23,4
0.0016239612502009716,58,0.464,63,23,4
0.004452192967267833,21,0.168,19,23,4
0.007594544658302895,143,1.144,22,23,4
0.009965729348621461,225,1.8,16,23,4
5.138573733414344e-05,9,0.072,7,23,4
0.005592357948329349,350,2.8,63,23,4
9.816943617747121e-08,5,0.04,51,23,4
0.00802904398257906,89,0.712,7,23,4
0.004116502599436236,18,0.144,0,23,4
0.004130205564136105,18,0.144,63,23,4
0.010111188607007679,44,0.352,0,23,4
0.00979967563617925,63,0.504,23,23,4
0.007282906426173682,85,0.68,40,23,4
0.011894231065076116,34,0.272,24,23,4
0.006851423398349102,62,0.496,15,23,4
0.0075512617736106505,26,0.208,63,23,4
0.0049855364766916285,73,0.584,16,23,4
0.0037384820860882685,149,1.192,63,23,4
0.006096640185258968,50,0.4,63,23,4
4.999222391518141e-07,3,0.024,5,23,4
0.0055047652300681685,33,0.264,31,23,4
0.009773311730585203,99,0.792,56,23,4
0.003994848282026503,39,0.312,63,23,4
