metric,value,percentage
Total Points,25019854,
Total Voxels,1880456,
Average Point Density,15.94527476580999,
Label Distribution - ego_vehicle,42006,0.16789066794714308
Label Distribution - asphalt,135228,0.5404827702032153
Label Distribution - low_grass,4728296,18.898175824687065
Label Distribution - high_grass,4212531,16.83675292429764
Label Distribution - bush,3097606,12.380591829192928
Label Distribution - forest,9295719,37.15337027945886
Label Distribution - tree_crown,1847391,7.383700160680394
Label Distribution - undefined,977526,3.907001215914369
Label Distribution - obstacle,6802,0.027186409640919566
Label Distribution - gravel,575473,2.3000653800777577
Label Distribution - soil,8387,0.03352137866192185
Label Distribution - debris,8519,0.03404895967818197
Label Distribution - leaves,80305,0.3209651023543143
Label Distribution - fence,4065,0.016247097205283452
Label Coverage (Voxels) - ego_vehicle,346,0.01839979239078181
Label Coverage (Voxels) - asphalt,18708,0.9948650752796131
Label Coverage (Voxels) - low_grass,357742,19.024215403072446
Label Coverage (Voxels) - high_grass,236295,12.565835095317308
Label Coverage (Voxels) - bush,119793,6.370422918696317
Label Coverage (Voxels) - forest,940628,50.021271436289915
Label Coverage (Voxels) - tree_crown,107102,5.695533423807842
Label Coverage (Voxels) - undefined,42135,2.240679920189571
Label Coverage (Voxels) - obstacle,181,0.009625324921189329
Label Coverage (Voxels) - gravel,46095,2.4512671394597905
Label Coverage (Voxels) - soil,537,0.02855690321921917
Label Coverage (Voxels) - debris,367,0.01951654279600267
Label Coverage (Voxels) - leaves,10257,0.5454528050643036
Label Coverage (Voxels) - fence,270,0.01435821949569679
--- Raw Label Information ---,,
Raw Label 8,42006,0.16789066794714308
Raw Label 23,135228,0.5404827702032153
Raw Label 50,4728296,18.898175824687065
Raw Label 51,4212531,16.83675292429764
Raw Label 17,3097606,12.380591829192928
Raw Label 16,9295719,37.15337027945886
Raw Label 27,1847391,7.383700160680394
Raw Label 65564,23404,0.09354171291327279
Raw Label 131100,24685,0.0986616468665245
Raw Label 327708,17187,0.06869344641259698
Raw Label 4,6802,0.027186409640919566
Raw Label 393244,14222,0.05684285767614791
Raw Label 458780,13433,0.05368936205622942
Raw Label 196636,16101,0.0643528935060932
Raw Label 262172,18080,0.07226261192411434
Raw Label 24,575473,2.3000653800777577
Raw Label 524316,14379,0.057470359339427
Raw Label 0,827,0.00330537500338731
Raw Label 851996,10803,0.04317770998983447
Raw Label 917532,17521,0.07002838625677033
Raw Label 655388,11906,0.04758620893631114
Raw Label 786460,11283,0.04509618641259857
Raw Label 589852,11366,0.04542792296070153
Raw Label 720924,14810,0.05919299129403392
Raw Label 1179676,10334,0.04130319865175872
Raw Label 1245212,11949,0.04775807244918376
Raw Label 1114140,11084,0.04430081806232762
Raw Label 983068,9276,0.03707455686991619
Raw Label 1048604,17128,0.06845763368563221
Raw Label 1310748,18270,0.07302200884145846
Raw Label 1376284,7250,0.028976987635499395
Raw Label 31,8387,0.03352137866192185
Raw Label 1441820,8949,0.035767594806908144
Raw Label 1572892,8778,0.035084137581298434
Raw Label 1507356,7529,0.030092102056231022
Raw Label 1769500,7067,0.02824556849932058
Raw Label 1638428,8422,0.0336612675677484
Raw Label 1703964,7655,0.030595702117206598
Raw Label 2818076,8915,0.03563170272696235
Raw Label 2752540,8713,0.03482434389904913
Raw Label 1835036,11660,0.04660298976964454
Raw Label 2490396,5941,0.023745142557586467
Raw Label 1900572,7268,0.029048930501353043
Raw Label 1966108,9585,0.038309576067070576
Raw Label 2097180,5708,0.02281388212736973
Raw Label 2359324,10933,0.04369729735433309
Raw Label 2031644,6218,0.024852263326556583
Raw Label 2293788,10270,0.041047401795390175
Raw Label 2228252,6905,0.027598082706637696
Raw Label 2162716,5784,0.023117640894307376
Raw Label 2424860,14517,0.05802192131097168
Raw Label 2687004,6023,0.024072882279808666
Raw Label 2555932,6454,0.025795514234415597
Raw Label 2621468,6318,0.025251945914632437
