metric,value,percentage
Total Points,15076091,
Total Voxels,1754345,
Average Point Density,10.61007336396954,
Label Distribution - ego_vehicle,36395,0.24140873121553857
Label Distribution - asphalt,428853,2.8445901527126627
Label Distribution - undefined,321331,2.131394669878286
Label Distribution - hedge,457427,3.0341220413169436
Label Distribution - bush,384246,2.5487110684062597
Label Distribution - building,687129,4.557739801384855
Label Distribution - forest,2354918,15.620216142234748
Label Distribution - tree_crown,305423,2.0258766015673424
Label Distribution - sidewalk,26344,0.17474025594565593
Label Distribution - obstacle,82393,0.546514345130976
Label Distribution - low_grass,3850126,25.537959408708794
Label Distribution - soil,1834237,12.166529108904953
Label Distribution - high_grass,608570,4.036656451596107
Label Distribution - wall,38490,0.2553049062916906
Label Distribution - gravel,302935,2.009373649973325
Label Distribution - crops,3116529,20.67199647441767
Label Distribution - curb,8072,0.05354173041274426
Label Distribution - fence,84792,0.5624269580224741
Label Distribution - wire,13202,0.08756911854671082
Label Distribution - debris,101158,0.6709829490946957
Label Distribution - road_marking,16311,0.10819117502010303
Label Distribution - water,25,0.00016582547823570446
Label Distribution - cobble,9238,0.06127583071765751
Label Distribution - leaves,1814,0.012032296700782716
Label Distribution - guard_rail,192,0.0012735396728502104
Label Distribution - rail_track,5927,0.039313904380120814
Label Distribution - barrier_tape,14,9.28622678119945e-05
Label Coverage (Voxels) - ego_vehicle,294,0.01675839130843705
Label Coverage (Voxels) - asphalt,35488,2.0228632338565107
Label Coverage (Voxels) - undefined,12891,0.7348041576770817
Label Coverage (Voxels) - hedge,23410,1.3344011582670454
Label Coverage (Voxels) - bush,26000,1.4820346055080387
Label Coverage (Voxels) - building,51632,2.9430927212150406
Label Coverage (Voxels) - forest,153322,8.739558068680903
Label Coverage (Voxels) - tree_crown,22596,1.2880020748484478
Label Coverage (Voxels) - sidewalk,2976,0.16963596099968933
Label Coverage (Voxels) - obstacle,3410,0.19437453864547738
Label Coverage (Voxels) - low_grass,780581,44.49415593854116
Label Coverage (Voxels) - high_grass,66131,3.769555019109696
Label Coverage (Voxels) - soil,361669,20.615614374595648
Label Coverage (Voxels) - wall,2010,0.1145726752719676
Label Coverage (Voxels) - gravel,26376,1.5034671059569242
Label Coverage (Voxels) - crops,169607,9.667824743707767
Label Coverage (Voxels) - fence,4862,0.27714047123000324
Label Coverage (Voxels) - curb,702,0.04001493434871704
Label Coverage (Voxels) - wire,5333,0.30398809812209115
Label Coverage (Voxels) - debris,2872,0.16370782257765717
Label Coverage (Voxels) - road_marking,998,0.05688732831911625
Label Coverage (Voxels) - water,1,5.700133098107841e-05
Label Coverage (Voxels) - cobble,389,0.0221735177516395
Label Coverage (Voxels) - leaves,97,0.005529129105164606
Label Coverage (Voxels) - guard_rail,13,0.0007410173027540193
Label Coverage (Voxels) - rail_track,683,0.038931909060076555
Label Coverage (Voxels) - barrier_tape,2,0.00011400266196215683
--- Raw Label Information ---,,
Raw Label 8,36395,0.24140873121553857
Raw Label 23,428853,2.8445901527126627
Raw Label 65548,5670,0.03760921846385777
Raw Label 196620,971,0.006440661574674761
Raw Label 59,457427,3.0341220413169436
Raw Label 17,384246,2.5487110684062597
Raw Label 38,687129,4.557739801384855
Raw Label 16,2354918,15.620216142234748
Raw Label 27,305423,2.0258766015673424
Raw Label 1769478,37,0.00024542170778884257
Raw Label 21,26344,0.17474025594565593
Raw Label 262156,3674,0.02436971228151913
Raw Label 4,82393,0.546514345130976
Raw Label 50,3850126,25.537959408708794
Raw Label 0,2819,0.018698480925858036
Raw Label 327692,2692,0.017856087496420658
Raw Label 31,1834237,12.166529108904953
Raw Label 393228,4939,0.032760481480245775
Raw Label 51,608570,4.036656451596107
Raw Label 2228258,88,0.0005837056833896797
Raw Label 1507356,442,0.0029317944552072553
Raw Label 524316,1413,0.009372456029882016
Raw Label 458797,502,0.003329775602972946
Raw Label 655388,1165,0.007727467285783829
Raw Label 720924,1837,0.012184856140759565
Raw Label 1376284,601,0.003986444496786336
Raw Label 589836,3635,0.02411102453547143
Raw Label 786460,1396,0.009259694704681737
Raw Label 39,38490,0.2553049062916906
Raw Label 851996,1460,0.009684207928965141
Raw Label 1310732,639,0.004238499223704606
Raw Label 917532,5283,0.035042240060769066
Raw Label 1441820,430,0.002852198225654117
Raw Label 983068,1271,0.008430567313503216
Raw Label 1048604,2772,0.018386729026774913
Raw Label 1114140,818,0.00542580964787225
Raw Label 1179676,729,0.004835470945353143
Raw Label 1245212,885,0.005870221929543938
Raw Label 2031661,1026,0.006805477626793311
Raw Label 1966126,1905,0.01263590144156068
Raw Label 24,302935,2.009373649973325
Raw Label 30,3116529,20.67199647441767
Raw Label 1703973,830,0.005505405877425388
Raw Label 22,8072,0.05354173041274426
Raw Label 41,84792,0.5624269580224741
Raw Label 2162716,691,0.004583416218434872
Raw Label 2097197,112,0.000742898142495956
Raw Label 131084,3763,0.024960050984038237
Raw Label 1638428,288,0.0019103095092753153
Raw Label 1572909,248,0.0016449887440981885
Raw Label 1835055,681,0.00451708602714059
Raw Label 1900591,433,0.0028720972830424017
Raw Label 2097186,63,0.0004178802051539753
Raw Label 1835054,981,0.0065069917659690436
Raw Label 1900589,474,0.003144051067348957
Raw Label 1179660,681,0.00451708602714059
Raw Label 1310748,3383,0.02243950371485553
Raw Label 1966108,935,0.006201872886015347
Raw Label 2031644,399,0.0026465746326418435
Raw Label 1572901,324,0.00214909819793473
Raw Label 1441837,290,0.0019235755475341717
Raw Label 1703983,1543,0.01023474851670768
Raw Label 1769519,2148,0.014247725090011728
Raw Label 1638406,4,2.6532076517712715e-05
Raw Label 1769517,185,0.0012271085389442132
Raw Label 1703982,211,0.0013995670363093457
Raw Label 458780,1075,0.007130495564135292
Raw Label 589852,839,0.005565103049590242
Raw Label 524300,2209,0.014652339256906847
Raw Label 1835036,557,0.003694591655091496
Raw Label 1900572,657,0.004357893568034313
Raw Label 1507365,238,0.0015786585528039067
Raw Label 1572911,373,0.0024741161352767106
Raw Label 1638447,152,0.0010082189076730831
Raw Label 1769506,22,0.00014592642084741993
Raw Label 1376302,376,0.002494015192664995
Raw Label 1048588,3,1.9899057388284538e-05
Raw Label 1703964,865,0.005737561546955375
Raw Label 1572892,292,0.0019368415857930281
Raw Label 1245221,254,0.0016847868588747575
Raw Label 1310767,407,0.0026996387856772688
Raw Label 983077,35,0.00023215566952998625
Raw Label 1245218,15,9.949528694142268e-05
Raw Label 1114157,2030,0.013465028832739204
Raw Label 1048622,170,0.0011276132520027903
Raw Label 262172,1310,0.008689255059550913
Raw Label 393244,992,0.006579954976392754
Raw Label 393262,49,0.00032501793734198076
Raw Label 131100,1213,0.008045852203996381
Raw Label 196636,4425,0.029351109647719694
Raw Label 327708,855,0.005671231355661093
Raw Label 655405,286,0.001897043471016459
Raw Label 55,13202,0.08756911854671082
Raw Label 29,101158,0.6709829490946957
Raw Label 1048621,474,0.003144051067348957
Raw Label 786477,526,0.003488968062079222
Raw Label 917549,353,0.002341455752688147
Raw Label 589861,357,0.0023679878292058596
Raw Label 983085,407,0.0026996387856772688
Raw Label 524325,223,0.0014791632658624839
Raw Label 852013,612,0.004059407707210046
Raw Label 720943,244,0.0016184566675804756
Raw Label 1179695,739,0.004901801136647424
Raw Label 1245231,299,0.0019832727196990255
Raw Label 1376303,1031,0.006838642722440453
Raw Label 1966125,427,0.002832299168265832
Raw Label 1441839,1475,0.009783703215906563
Raw Label 1507375,472,0.0031307850290901006
Raw Label 196654,86,0.0005704396451308234
Raw Label 262189,520,0.003449169947302653
Raw Label 65564,1518,0.010068923038471974
Raw Label 393253,169,0.0011209802328733622
Raw Label 2162733,85,0.0005638066260013952
Raw Label 2228269,37,0.00024542170778884257
Raw Label 327717,284,0.0018837774327576026
Raw Label 720941,210,0.0013929340171799174
Raw Label 2293805,51,0.0003382839756008371
Raw Label 589869,455,0.0030180237038898213
Raw Label 2359341,158,0.0010480170224496522
Raw Label 524335,60,0.00039798114776569074
Raw Label 983087,85,0.0005638066260013952
Raw Label 1048623,1810,0.012005764624265003
Raw Label 1114159,772,0.005120690767918554
Raw Label 1638445,409,0.002712904823936125
Raw Label 1703981,183,0.0012138425006853568
Raw Label 1835053,12,7.959622955313815e-05
Raw Label 2424877,26,0.00017245849736513265
Raw Label 2490413,234,0.0015521264762861939
Raw Label 2555949,415,0.002752702938712694
Raw Label 65582,8,5.306415303542543e-05
Raw Label 196645,1937,0.012848158053702381
Raw Label 1507373,257,0.001704685916263042
Raw Label 131109,27019,0.17921754385801994
Raw Label 2621485,560,0.00371449071247978
Raw Label 524333,690,0.004576783199305443
Raw Label 2687021,90,0.000596971721648536
Raw Label 2752557,66,0.0004377792625422598
Raw Label 393261,381,0.0025271802883121363
Raw Label 327727,269,0.00178428214581618
Raw Label 786479,255,0.0016914198780041856
Raw Label 1179693,615,0.0040793067645983295
Raw Label 1245229,575,0.0038139859994212027
Raw Label 852015,167,0.0011077141946145058
Raw Label 917551,66,0.0004377792625422598
Raw Label 1376301,423,0.0028057670917481193
Raw Label 1310765,282,0.0018705113944987462
Raw Label 327725,336,0.002228694427487868
Raw Label 65573,10800,0.07163660659782434
Raw Label 196653,279,0.0018506123371104617
Raw Label 131117,2875,0.01906992999710601
Raw Label 262181,762,0.0050543605766242726
Raw Label 589857,20,0.00013266038258856358
Raw Label 65581,882,0.005850322872155654
Raw Label 131105,17,0.00011276132520027903
Raw Label 65569,2,1.3266038258856357e-05
Raw Label 65550,825,0.005472240781778248
Raw Label 655407,4,2.6532076517712715e-05
Raw Label 393263,200,0.0013266038258856357
Raw Label 589871,55,0.00036481605211854983
Raw Label 458812,2,1.3266038258856357e-05
Raw Label 524334,3,1.9899057388284538e-05
Raw Label 655420,8,5.306415303542543e-05
Raw Label 720942,18,0.0001193943443297072
Raw Label 720956,10,6.633019129428179e-05
Raw Label 786478,263,0.001744484031039611
Raw Label 2424860,405,0.002686372747418412
Raw Label 2228252,686,0.0045502511227877305
Raw Label 2359324,564,0.0037410227889974924
Raw Label 262191,176,0.0011674113667793594
Raw Label 11,16311,0.10819117502010303
Raw Label 2555950,113,0.0007495311616253842
Raw Label 2490428,30,0.00019899057388284537
Raw Label 2687023,539,0.0035751973107617887
Raw Label 2097199,526,0.003488968062079222
Raw Label 1179694,2935,0.019467911144871706
Raw Label 2752540,484,0.0032103812586432388
Raw Label 2687004,97,0.0006434028555545333
Raw Label 2621468,137,0.0009087236207316605
Raw Label 2555932,103,0.0006832009703311024
Raw Label 2097180,522,0.0034624359855615094
Raw Label 2031663,200,0.0013266038258856357
Raw Label 2818076,86,0.0005704396451308234
Raw Label 2490396,119,0.0007893292764019534
Raw Label 2293788,776,0.0051472228444362665
Raw Label 2883631,235,0.0015587594954156222
Raw Label 54,25,0.00016582547823570446
Raw Label 1310780,114,0.0007561641807548124
Raw Label 3014703,86,0.0005704396451308234
Raw Label 3080239,117,0.0007760632381430969
Raw Label 1966127,116,0.0007694302190136688
Raw Label 2949167,433,0.0028720972830424017
Raw Label 1441838,322,0.0021358321596758735
Raw Label 3145773,168,0.001114347213743934
Raw Label 2949148,38,0.0002520547269182708
Raw Label 2883612,55,0.00036481605211854983
Raw Label 2228271,3794,0.02516567457705051
Raw Label 3014684,83,0.0005505405877425389
Raw Label 3473455,292,0.0019368415857930281
Raw Label 3342381,223,0.0014791632658624839
Raw Label 3276847,1192,0.007906558802278389
Raw Label 3604527,419,0.002779235015230407
Raw Label 3407917,862,0.00571766248956709
Raw Label 3211311,1022,0.006778945550275598
Raw Label 2162735,2424,0.016078438369733907
Raw Label 1507388,99,0.0006566688938133897
Raw Label 3538991,493,0.003270078430808092
Raw Label 3145775,586,0.0038869492098449125
Raw Label 1638446,178,0.0011806774050382158
Raw Label 3670063,75,0.0004974764347071135
Raw Label 3735599,6,3.9798114776569075e-05
Raw Label 1572924,68,0.00045104530080111613
Raw Label 196622,4,2.6532076517712715e-05
Raw Label 589856,129,0.0008556594676962351
Raw Label 524301,29,0.0001923575547534172
Raw Label 1114158,810,0.005372745494836824
Raw Label 262202,164,0.0010878151372262213
Raw Label 196666,226,0.0014990623232507684
Raw Label 327738,64,0.00042451322428340343
Raw Label 393274,112,0.000742898142495956
Raw Label 1900554,5,3.3165095647140895e-05
Raw Label 458810,84,0.000557173606871967
Raw Label 2293806,210,0.0013929340171799174
Raw Label 1638410,14,9.28622678119945e-05
Raw Label 1572910,739,0.004901801136647424
Raw Label 2424879,2790,0.01850612337110462
Raw Label 917550,805,0.005339580399189684
Raw Label 2621498,5,3.3165095647140895e-05
Raw Label 131130,250,0.0016582547823570447
Raw Label 2359309,1,6.633019129428179e-06
Raw Label 2293792,4,2.6532076517712715e-05
Raw Label 2031662,4,2.6532076517712715e-05
Raw Label 1572874,7,4.643113390599725e-05
Raw Label 1507374,173,0.0011475123093910749
Raw Label 2490415,1219,0.008085650318772949
Raw Label 2555951,1451,0.009624510756800287
Raw Label 852014,967,0.006414129498157048
Raw Label 3211310,1016,0.00673914743549903
Raw Label 3014701,176,0.0011674113667793594
Raw Label 3342383,1165,0.007727467285783829
Raw Label 3276846,19,0.0001260273634591354
Raw Label 2424845,2,1.3266038258856357e-05
Raw Label 2359328,6,3.9798114776569075e-05
Raw Label 2818068,3,1.9899057388284538e-05
Raw Label 2752526,2,1.3266038258856357e-05
Raw Label 2097198,3,1.9899057388284538e-05
Raw Label 2949165,67,0.00044441228167168797
Raw Label 2621487,1335,0.008855080537786619
Raw Label 3080237,241,0.0015985576101921913
Raw Label 2293807,1335,0.008855080537786619
Raw Label 458772,88,0.0005837056833896797
Raw Label 5111836,385,0.0025537123648298487
Raw Label 4980764,304,0.0020164378153461663
Raw Label 4325423,46,0.00030511887995369623
Raw Label 5046319,42,0.0002785868034359835
Raw Label 4849711,539,0.0035751973107617887
Raw Label 4915210,45,0.000298485860824268
Raw Label 4456495,111,0.0007362651233665279
Raw Label 4653101,203,0.0013465028832739202
Raw Label 3211309,232,0.0015388604380273377
Raw Label 3473453,26,0.00017245849736513265
Raw Label 4390957,453,0.003004757665630965
Raw Label 2555917,10,6.633019129428179e-05
Raw Label 2490400,29,0.0001923575547534172
Raw Label 3407919,99,0.0006566688938133897
Raw Label 4521994,4,2.6532076517712715e-05
Raw Label 3342382,8,5.306415303542543e-05
Raw Label 4587567,201,0.0013332368450150638
Raw Label 4718637,14,9.28622678119945e-05
Raw Label 4784174,2,1.3266038258856357e-05
Raw Label 3997724,641,0.0042517652619634624
Raw Label 3932188,692,0.0045900492375642995
Raw Label 2228270,12,7.959622955313815e-05
Raw Label 3866652,647,0.0042915633767400315
Raw Label 4259854,4,2.6532076517712715e-05
Raw Label 2883598,2,1.3266038258856357e-05
Raw Label 4194318,2,1.3266038258856357e-05
Raw Label 393250,78,0.000517375492095398
Raw Label 1703946,58,0.0003847151095068344
Raw Label 5177389,28,0.000185724535623989
Raw Label 983046,906,0.00600951533126193
Raw Label 3735597,66,0.0004377792625422598
Raw Label 2752559,1193,0.007913191821407817
Raw Label 3801133,10,6.633019129428179e-05
Raw Label 2359343,218,0.0014459981702153431
Raw Label 4063277,88,0.0005837056833896797
Raw Label 4128813,65,0.00043114624341283165
Raw Label 5111853,456,0.0030246567230192496
Raw Label 3604525,475,0.0031506840864783847
Raw Label 5046317,121,0.0008025953146608097
Raw Label 4194351,29,0.0001923575547534172
Raw Label 3997743,113,0.0007495311616253842
Raw Label 6029357,44,0.00029185284169483985
Raw Label 4128796,1105,0.0073294861380181365
Raw Label 5439533,29,0.0001923575547534172
Raw Label 4063279,33,0.0002188896312711299
Raw Label 983060,674,0.004470654893234592
Raw Label 1114124,172,0.0011408792902616468
Raw Label 720954,210,0.0013929340171799174
Raw Label 1376268,279,0.0018506123371104617
Raw Label 4521997,21,0.00013929340171799174
Raw Label 8323105,10,6.633019129428179e-05
Raw Label 4456480,176,0.0011674113667793594
Raw Label 6291501,47,0.0003117518990831244
Raw Label 5242926,200,0.0013266038258856357
Raw Label 6094895,98,0.0006500358746839615
Raw Label 655418,175,0.0011607783476499313
Raw Label 1245196,222,0.0014725302467330558
Raw Label 8257581,166,0.0011010811754850777
Raw Label 6619164,570,0.0037808209037740615
Raw Label 1441804,306,0.002029703853605023
Raw Label 1507340,191,0.001266906653720782
Raw Label 1572876,126,0.0008357604103079505
Raw Label 2031628,9,5.96971721648536e-05
Raw Label 7733260,15,9.949528694142268e-05
Raw Label 1966092,21,0.00013929340171799174
Raw Label 1900556,38,0.0002520547269182708
Raw Label 7798812,235,0.0015587594954156222
Raw Label 7864348,279,0.0018506123371104617
Raw Label 1769484,18,0.0001193943443297072
Raw Label 1835045,327,0.0021689972553230142
Raw Label 1703948,31,0.00020562359301227356
Raw Label 1638412,147,0.0009750538120259422
Raw Label 6488111,74,0.0004908434155776851
Raw Label 5308462,204,0.0013531359024033483
Raw Label 6160394,51,0.0003382839756008371
Raw Label 3932205,80,0.0005306415303542543
Raw Label 6553610,25,0.00016582547823570446
Raw Label 7929884,252,0.001671520820615901
Raw Label 6225967,61,0.0004046141668951189
Raw Label 5373999,3,1.9899057388284538e-05
Raw Label 6750236,609,0.0040395086498217605
Raw Label 8126509,90,0.000596971721648536
Raw Label 6684719,123,0.000815861352919666
Raw Label 5963823,156,0.001034750984190796
Raw Label 4915247,223,0.0014791632658624839
Raw Label 8454189,15,9.949528694142268e-05
Raw Label 5505071,421,0.002792501053489263
Raw Label 8388653,142,0.0009418887163788013
Raw Label 6357037,31,0.00020562359301227356
Raw Label 6422574,62,0.0004112471860245471
Raw Label 8060956,160,0.0010612830607085086
Raw Label 4259886,128,0.0008490264485668069
Raw Label 3866669,24,0.0001591924591062763
Raw Label 4980781,196,0.001300071749367923
Raw Label 5767196,926,0.006142175713850493
Raw Label 3801098,205,0.0013597689215327767
Raw Label 5701660,426,0.002825666149136404
Raw Label 3735598,195,0.001293438730238495
Raw Label 4784142,3,1.9899057388284538e-05
Raw Label 5898254,6,3.9798114776569075e-05
Raw Label 5832718,23,0.00015255943997684811
Raw Label 4849684,5,3.3165095647140895e-05
Raw Label 8192032,5,3.3165095647140895e-05
Raw Label 8519725,144,0.0009551547546376576
Raw Label 7995420,139,0.0009219896589905168
Raw Label 8716333,2,1.3266038258856357e-05
Raw Label 7012398,33,0.0002188896312711299
Raw Label 6946862,620,0.004112471860245471
Raw Label 6815789,686,0.0045502511227877305
Raw Label 7077934,31,0.00020562359301227356
Raw Label 7143434,20,0.00013266038258856358
Raw Label 8781834,2,1.3266038258856357e-05
Raw Label 917538,55,0.00036481605211854983
Raw Label 7209005,10,6.633019129428179e-05
Raw Label 2424838,61,0.0004046141668951189
Raw Label 7602204,86,0.0005704396451308234
Raw Label 7471151,5,3.3165095647140895e-05
Raw Label 7667740,92,0.0006102377599073925
Raw Label 2883629,485,0.0032170142777726667
Raw Label 7274541,134,0.0008888245633433759
Raw Label 4718639,62,0.0004112471860245471
Raw Label 5636141,23,0.00015255943997684811
Raw Label 4653103,171,0.0011342462711322185
Raw Label 7536668,205,0.0013597689215327767
Raw Label 7340079,18,0.0001193943443297072
Raw Label 7405613,4,2.6532076517712715e-05
Raw Label 8585263,55,0.00036481605211854983
Raw Label 8650797,8,5.306415303542543e-05
Raw Label 2818093,160,0.0010612830607085086
Raw Label 458764,3428,0.022737989575679796
Raw Label 4325421,103,0.0006832009703311024
Raw Label 4390959,22,0.00014592642084741993
Raw Label 3538989,160,0.0010612830607085086
Raw Label 4522031,87,0.0005770726642602515
Raw Label 4456493,62,0.0004112471860245471
Raw Label 5242925,6,3.9798114776569075e-05
Raw Label 3997706,20,0.00013266038258856358
Raw Label 3932206,57,0.0003780820903774062
Raw Label 5308461,341,0.002261859523135009
Raw Label 4128815,539,0.0035751973107617887
Raw Label 6094893,8,5.306415303542543e-05
Raw Label 4259868,1380,0.009153566398610886
Raw Label 5505069,4,2.6532076517712715e-05
Raw Label 4653069,23,0.00015255943997684811
Raw Label 7929889,12,7.959622955313815e-05
Raw Label 4587552,33,0.0002188896312711299
Raw Label 5373998,13,8.622924868256632e-05
Raw Label 5439535,68,0.00045104530080111613
Raw Label 1179668,33,0.0002188896312711299
Raw Label 4390958,76,0.0005041094538365416
Raw Label 7995437,6,3.9798114776569075e-05
Raw Label 5570607,89,0.0005903387025191079
Raw Label 8060973,9,5.96971721648536e-05
Raw Label 852026,9,5.96971721648536e-05
Raw Label 6619183,42,0.0002785868034359835
Raw Label 7798829,27,0.00017909151649456084
